YEAR,MONTH,Datetime,Rainfall
1901,Jan,01-01-1901,5.082
1901,Feb,02-01-1901,0.769
1901,Mar,03-01-1901,0.182
1901,Apr,04-01-1901,0.291
1901,May,05-01-1901,3.47
1901,Jun,06-01-1901,18.436
1901,Jul,07-01-1901,185.767
1901,Aug,08-01-1901,108.43
1901,Sep,09-01-1901,6.478
1901,Oct,10-01-1901,8.023
1901,Nov,11-01-1901,0.039
1901,Dec,12-01-1901,6.618
1902,Jan,01-01-1902,0.991
1902,Feb,02-01-1902,0
1902,Mar,03-01-1902,0.004
1902,Apr,04-01-1902,0.04
1902,May,05-01-1902,0.231
1902,Jun,06-01-1902,69.584
1902,Jul,07-01-1902,89.631
1902,Aug,08-01-1902,99.575
1902,Sep,09-01-1902,66.101
1902,Oct,10-01-1902,2.721
1902,Nov,11-01-1902,7.319
1902,Dec,12-01-1902,0.558
1903,Jan,01-01-1903,0.337
1903,Feb,02-01-1903,0.089
1903,Mar,03-01-1903,1.305
1903,Apr,04-01-1903,0
1903,May,05-01-1903,11.937
1903,Jun,06-01-1903,3.44
1903,Jul,07-01-1903,287.291
1903,Aug,08-01-1903,185.468
1903,Sep,09-01-1903,147.905
1903,Oct,10-01-1903,2.383
1903,Nov,11-01-1903,0.039
1903,Dec,12-01-1903,0
1904,Jan,01-01-1904,0.429
1904,Feb,02-01-1904,2.02
1904,Mar,03-01-1904,26.237
1904,Apr,04-01-1904,0
1904,May,05-01-1904,14.769
1904,Jun,06-01-1904,51.707
1904,Jul,07-01-1904,117.672
1904,Aug,08-01-1904,79.146
1904,Sep,09-01-1904,68.75
1904,Oct,10-01-1904,11.705
1904,Nov,11-01-1904,5.116
1904,Dec,12-01-1904,11.12
1905,Jan,01-01-1905,4.074
1905,Feb,02-01-1905,6.229
1905,Mar,03-01-1905,2.075
1905,Apr,04-01-1905,8.199
1905,May,05-01-1905,2.768
1905,Jun,06-01-1905,20.722
1905,Jul,07-01-1905,99.946
1905,Aug,08-01-1905,9.432
1905,Sep,09-01-1905,62.886
1905,Oct,10-01-1905,0
1905,Nov,11-01-1905,0.039
1905,Dec,12-01-1905,0.19
1906,Jan,01-01-1906,0
1906,Feb,02-01-1906,43.472
1906,Mar,03-01-1906,3.039
1906,Apr,04-01-1906,0
1906,May,05-01-1906,1.03
1906,Jun,06-01-1906,48.59
1906,Jul,07-01-1906,160.278
1906,Aug,08-01-1906,72.257
1906,Sep,09-01-1906,136.599
1906,Oct,10-01-1906,0.059
1906,Nov,11-01-1906,0.039
1906,Dec,12-01-1906,18.342
1907,Jan,01-01-1907,4.374
1907,Feb,02-01-1907,20.537
1907,Mar,03-01-1907,0.667
1907,Apr,04-01-1907,14.725
1907,May,05-01-1907,4.882
1907,Jun,06-01-1907,10.65
1907,Jul,07-01-1907,86.726
1907,Aug,08-01-1907,261.89
1907,Sep,09-01-1907,1.833
1907,Oct,10-01-1907,0
1907,Nov,11-01-1907,0.45
1907,Dec,12-01-1907,0
1908,Jan,01-01-1908,11.288
1908,Feb,02-01-1908,0
1908,Mar,03-01-1908,0
1908,Apr,04-01-1908,0.422
1908,May,05-01-1908,3.262
1908,Jun,06-01-1908,27.672
1908,Jul,07-01-1908,432.441
1908,Aug,08-01-1908,313.776
1908,Sep,09-01-1908,288.739
1908,Oct,10-01-1908,0.893
1908,Nov,11-01-1908,6.134
1908,Dec,12-01-1908,0.19
1909,Jan,01-01-1909,13.532
1909,Feb,02-01-1909,0.223
1909,Mar,03-01-1909,0
1909,Apr,04-01-1909,26.655
1909,May,05-01-1909,5.956
1909,Jun,06-01-1909,40.131
1909,Jul,07-01-1909,323.511
1909,Aug,08-01-1909,61.572
1909,Sep,09-01-1909,256.662
1909,Oct,10-01-1909,0
1909,Nov,11-01-1909,0.039
1909,Dec,12-01-1909,5.524
1910,Jan,01-01-1910,2.646
1910,Feb,02-01-1910,0.715
1910,Mar,03-01-1910,0
1910,Apr,04-01-1910,9.81
1910,May,05-01-1910,2.865
1910,Jun,06-01-1910,109.868
1910,Jul,07-01-1910,84.464
1910,Aug,08-01-1910,170.467
1910,Sep,09-01-1910,38.937
1910,Oct,10-01-1910,2.553
1910,Nov,11-01-1910,0.766
1910,Dec,12-01-1910,0
1911,Jan,01-01-1911,3.577
1911,Feb,02-01-1911,0
1911,Mar,03-01-1911,21.05
1911,Apr,04-01-1911,0
1911,May,05-01-1911,0.004
1911,Jun,06-01-1911,38.845
1911,Jul,07-01-1911,20.769
1911,Aug,08-01-1911,33.769
1911,Sep,09-01-1911,136.674
1911,Oct,10-01-1911,0
1911,Nov,11-01-1911,31.972
1911,Dec,12-01-1911,1.232
1912,Jan,01-01-1912,1.65
1912,Feb,02-01-1912,0.089
1912,Mar,03-01-1912,0.087
1912,Apr,04-01-1912,1.152
1912,May,05-01-1912,1.03
1912,Jun,06-01-1912,62.467
1912,Jul,07-01-1912,196.551
1912,Aug,08-01-1912,231.075
1912,Sep,09-01-1912,68.823
1912,Oct,10-01-1912,19.958
1912,Nov,11-01-1912,55.868
1912,Dec,12-01-1912,0.41
1913,Jan,01-01-1913,0
1913,Feb,02-01-1913,3.473
1913,Mar,03-01-1913,1.401
1913,Apr,04-01-1913,0
1913,May,05-01-1913,12.739
1913,Jun,06-01-1913,50.94
1913,Jul,07-01-1913,96.399
1913,Aug,08-01-1913,58.362
1913,Sep,09-01-1913,72.984
1913,Oct,10-01-1913,0
1913,Nov,11-01-1913,0.047
1913,Dec,12-01-1913,1.797
1914,Jan,01-01-1914,0
1914,Feb,02-01-1914,3.628
1914,Mar,03-01-1914,0.184
1914,Apr,04-01-1914,4.707
1914,May,05-01-1914,14.813
1914,Jun,06-01-1914,96.292
1914,Jul,07-01-1914,148.925
1914,Aug,08-01-1914,117.045
1914,Sep,09-01-1914,104.604
1914,Oct,10-01-1914,2.955
1914,Nov,11-01-1914,37.954
1914,Dec,12-01-1914,0.4
1915,Jan,01-01-1915,5.017
1915,Feb,02-01-1915,5.559
1915,Mar,03-01-1915,28.074
1915,Apr,04-01-1915,2.252
1915,May,05-01-1915,3.097
1915,Jun,06-01-1915,30.884
1915,Jul,07-01-1915,75.883
1915,Aug,08-01-1915,45.145
1915,Sep,09-01-1915,33.34
1915,Oct,10-01-1915,53.144
1915,Nov,11-01-1915,0.182
1915,Dec,12-01-1915,0.339
1916,Jan,01-01-1916,0
1916,Feb,02-01-1916,0.838
1916,Mar,03-01-1916,0.184
1916,Apr,04-01-1916,0.198
1916,May,05-01-1916,23.329
1916,Jun,06-01-1916,34.946
1916,Jul,07-01-1916,125.972
1916,Aug,08-01-1916,304.538
1916,Sep,09-01-1916,140.098
1916,Oct,10-01-1916,10.985
1916,Nov,11-01-1916,2.471
1916,Dec,12-01-1916,0
1917,Jan,01-01-1917,1.065
1917,Feb,02-01-1917,9.959
1917,Mar,03-01-1917,0.281
1917,Apr,04-01-1917,17.575
1917,May,05-01-1917,59.422
1917,Jun,06-01-1917,198.547
1917,Jul,07-01-1917,243.632
1917,Aug,08-01-1917,386.326
1917,Sep,09-01-1917,242.147
1917,Oct,10-01-1917,28.464
1917,Nov,11-01-1917,0.039
1917,Dec,12-01-1917,17.203
1918,Jan,01-01-1918,1.202
1918,Feb,02-01-1918,0
1918,Mar,03-01-1918,3.291
1918,Apr,04-01-1918,0
1918,May,05-01-1918,9.594
1918,Jun,06-01-1918,15.226
1918,Jul,07-01-1918,25.44
1918,Aug,08-01-1918,60.958
1918,Sep,09-01-1918,11.76
1918,Oct,10-01-1918,0
1918,Nov,11-01-1918,3.457
1918,Dec,12-01-1918,0
1919,Jan,01-01-1919,10.558
1919,Feb,02-01-1919,0
1919,Mar,03-01-1919,0.286
1919,Apr,04-01-1919,31.999
1919,May,05-01-1919,6.123
1919,Jun,06-01-1919,20.565
1919,Jul,07-01-1919,208.245
1919,Aug,08-01-1919,149.909
1919,Sep,09-01-1919,50.918
1919,Oct,10-01-1919,3.875
1919,Nov,11-01-1919,21.571
1919,Dec,12-01-1919,1.025
1920,Jan,01-01-1920,3.737
1920,Feb,02-01-1920,3.83
1920,Mar,03-01-1920,1.908
1920,Apr,04-01-1920,0
1920,May,05-01-1920,29.171
1920,Jun,06-01-1920,146.164
1920,Jul,07-01-1920,141.925
1920,Aug,08-01-1920,29.881
1920,Sep,09-01-1920,17.026
1920,Oct,10-01-1920,0
1920,Nov,11-01-1920,0.039
1920,Dec,12-01-1920,0
1921,Jan,01-01-1921,2.264
1921,Feb,02-01-1921,0
1921,Mar,03-01-1921,0
1921,Apr,04-01-1921,0.04
1921,May,05-01-1921,0.004
1921,Jun,06-01-1921,20.897
1921,Jul,07-01-1921,124.478
1921,Aug,08-01-1921,74.848
1921,Sep,09-01-1921,103.106
1921,Oct,10-01-1921,0
1921,Nov,11-01-1921,0.039
1921,Dec,12-01-1921,0
1922,Jan,01-01-1922,1.424
1922,Feb,02-01-1922,0.838
1922,Mar,03-01-1922,0.036
1922,Apr,04-01-1922,0.348
1922,May,05-01-1922,1.304
1922,Jun,06-01-1922,36.502
1922,Jul,07-01-1922,174.243
1922,Aug,08-01-1922,49.711
1922,Sep,09-01-1922,154.297
1922,Oct,10-01-1922,0.602
1922,Nov,11-01-1922,4.715
1922,Dec,12-01-1922,5.372
1923,Jan,01-01-1923,1.949
1923,Feb,02-01-1923,6.439
1923,Mar,03-01-1923,2.133
1923,Apr,04-01-1923,0.526
1923,May,05-01-1923,4.448
1923,Jun,06-01-1923,3.636
1923,Jul,07-01-1923,318.651
1923,Aug,08-01-1923,178.468
1923,Sep,09-01-1923,56.236
1923,Oct,10-01-1923,1.823
1923,Nov,11-01-1923,0.039
1923,Dec,12-01-1923,1.108
1924,Jan,01-01-1924,0.985
1924,Feb,02-01-1924,2.335
1924,Mar,03-01-1924,0.199
1924,Apr,04-01-1924,0
1924,May,05-01-1924,13.261
1924,Jun,06-01-1924,28.257
1924,Jul,07-01-1924,173.095
1924,Aug,08-01-1924,96.739
1924,Sep,09-01-1924,156.313
1924,Oct,10-01-1924,6.354
1924,Nov,11-01-1924,0.555
1924,Dec,12-01-1924,20.793
1925,Jan,01-01-1925,0
1925,Feb,02-01-1925,0
1925,Mar,03-01-1925,0
1925,Apr,04-01-1925,0
1925,May,05-01-1925,12.179
1925,Jun,06-01-1925,94.669
1925,Jul,07-01-1925,189.425
1925,Aug,08-01-1925,64.993
1925,Sep,09-01-1925,10.21
1925,Oct,10-01-1925,0
1925,Nov,11-01-1925,30.13
1925,Dec,12-01-1925,0.042
1926,Jan,01-01-1926,19.759
1926,Feb,02-01-1926,0.677
1926,Mar,03-01-1926,25.67
1926,Apr,04-01-1926,6.289
1926,May,05-01-1926,12.529
1926,Jun,06-01-1926,11.719
1926,Jul,07-01-1926,150.411
1926,Aug,08-01-1926,238.098
1926,Sep,09-01-1926,236.959
1926,Oct,10-01-1926,0
1926,Nov,11-01-1926,2.272
1926,Dec,12-01-1926,0
1927,Jan,01-01-1927,0
1927,Feb,02-01-1927,6.497
1927,Mar,03-01-1927,0.161
1927,Apr,04-01-1927,0.348
1927,May,05-01-1927,5.645
1927,Jun,06-01-1927,16.276
1927,Jul,07-01-1927,226.624
1927,Aug,08-01-1927,332.879
1927,Sep,09-01-1927,73.396
1927,Oct,10-01-1927,10.979
1927,Nov,11-01-1927,16.942
1927,Dec,12-01-1927,12.568
1928,Jan,01-01-1928,1.271
1928,Feb,02-01-1928,4.957
1928,Mar,03-01-1928,0.272
1928,Apr,04-01-1928,0
1928,May,05-01-1928,0.648
1928,Jun,06-01-1928,10.745
1928,Jul,07-01-1928,163.753
1928,Aug,08-01-1928,190.028
1928,Sep,09-01-1928,72.892
1928,Oct,10-01-1928,36.64
1928,Nov,11-01-1928,27.332
1928,Dec,12-01-1928,7.672
1929,Jan,01-01-1929,0.405
1929,Feb,02-01-1929,1.264
1929,Mar,03-01-1929,0
1929,Apr,04-01-1929,7.588
1929,May,05-01-1929,2.168
1929,Jun,06-01-1929,45.372
1929,Jul,07-01-1929,176.454
